Vibrio mediterranei
Xanthomonas sp.
Roseburia sp.
Histophilus somni
Mycoplasmoides pneumoniae
Azospirillum sp.
Aliiroseovarius crassostreae
Bifidobacterium felsineum
Cupriavidus alkaliphilus
Lactobacillus delbrueckii
Sulfobacillus thermosulfidooxidans
Idiomarina fontislapidosi
Bordetella holmesii
Clostridium tetanomorphum
Desulfovibrio vulgaris
Bradyrhizobium barranii
Massilia sp.
Campylobacter novaezeelandiae
Gordonia sp.
Xanthomonas axonopodis
Fructilactobacillus sanfranciscensis
Xanthomonas prunicola
Phaeobacter inhibens
Burkholderia diffusa
Agrococcus lahaulensis
Ponticoccus sp.
Pseudomonas oligotrophica
Flavobacterium weaverense
Umboniibacter marinipuniceus
Acidovorax sp.
Ruegeria pomeroyi
Allorhizobium undicola
Staphylococcus capitis
Pantoea ananatis
Geovibrio thiophilus
Varunaivibrio sulfuroxidans
Alteromonas sp.
Capnocytophaga granulosa
Paenibacillus mucilaginosus
Curtobacterium sp.
Staphylococcus pettenkoferi
Pseudoduganella dura
Photobacterium carnosum
Rhodobacter capsulatus
Cloacibacillus evryensis
Fusobacterium sp.
Listeria floridensis
Idiomarina loihiensis
Alkalihalobacillus berkeleyi
Streptococcus sp.
Comamonas terrigena
Klebsiella grimontii
Peptococcus niger
Mycobacterium intracellulare
Bacteroides fragilis
Sphingomonas paucimobilis
Burkholderia vietnamiensis
Bacillus subtilis
Zoogloea sp.
Massilia antarctica
Bacillus pseudomycoides
Bacillus halotolerans
Bacteroides eggerthii
Sellimonas intestinalis
Paracraurococcus ruber
Paraburkholderia guartelaensis
Brucella anthropi
Pseudomonas putida
Myroides odoratimimus
MAG: Acinetobacter
Bacteroides sp.
Pseudoalteromonas ruthenica
Terracoccus luteus
Streptococcus salivarius
Providencia rettgeri
Francisella orientalis
Candidatus Planktophila
Lysobacter telluris
Methyloceanibacter methanicus
Thermodesulfobacterium sp.
Lactococcus cremoris
Herbaspirillum sp.
Prevotella maculosa
Flavonifractor sp.
Clostridium formicaceticum
Mycobacterium attenuatum
Clostridium saudiense
Limosilactobacillus reuteri
Oscillibacter valericigenes
Limosilactobacillus fermentum
Nodularia sphaerocarpa
Aggregatilinea lenta
Colwellia sp.
Microbacterium oxydans
Rhodopseudomonas pentothenatexigens
Trueperella pyogenes
Lacticaseibacillus paracasei
Cronobacter sakazakii
Verrucosispora sp.
Hymenobacter psychrophilus
Pectobacterium aroidearum
Bacillus rugosus
Alicyclobacillus contaminans
Larsenimonas rhizosphaerae
Lactobacillus helveticus
Aerococcus urinae
Streptococcus mutans
Leclercia adecarboxylata
Aeromicrobium sp.
Streptococcus oralis
Elizabethkingia anophelis
Pseudoglutamicibacter albus
Leifsonia aquatica
Xanthomonas citri
Acinetobacter johnsonii
Pseudomonas coronafaciens
Klebsiella sp.
[Haemophilus] ducreyi
Brachybacterium sp.
Phocaeicola dorei
Pasteurella multocida
Mycoplasmopsis edwardii
Corynebacterium sp.
Thiohalophilus thiocyanatoxydans
Alkalihalophilus pseudofirmus
Dictyoglomus thermophilum
Curtobacterium flaccumfaciens
Stutzerimonas stutzeri
Pseudomonas savastanoi
Lactobacillus gasseri
Staphylococcus saprophyticus
Desulfitobacterium hafniense
Bordetella pertussis
MAG: Candidatus
Corynebacterium ulcerans
Pasteurella testudinis
Mycobacteroides chelonae
Lutibacter sp.
Priestia aryabhattai
Neisseria mucosa
Akkermansia sp.
Riemerella anatipestifer
Saccharibacillus deserti
Pectobacterium brasiliense
Methylophilus rhizosphaerae
Sinorhizobium meliloti
Listeria seeligeri
Acinetobacter stercoris
Streptomyces aureocirculatus
Corynebacterium guaraldiae
Fusicatenibacter saccharivorans
Alistipes onderdonkii
Agrobacterium tumefaciens
Anaerococcus rubeinfantis
Leptospira sp.
Spiribacter sp.
Salinicoccus roseus
Gordonia paraffinivorans
Xanthomonas oryzae
Gluconobacter cerinus
Anaerotruncus sp.
MAG: Lactococcus
Corynebacterium pseudotuberculosis
Actinobacillus suis
Novosphingobium pentaromativorans
Vibrio alginolyticus
Borrelia parkeri
Raoultella ornithinolytica
Candidatus Stoquefichus
Brachyspira hyodysenteriae
Paenibacillus kribbensis
Sulfitobacter geojensis
Magnetospirillum marisnigri
Vibrio aestuarianus
Cronobacter dublinensis
Macrococcus canis
Aliarcobacter cryaerophilus
Metamycoplasma phocicerebrale
Rhodococcus sp.
MAG: Actinobacillus
Limimonas halophila
Aeromonas dhakensis
Yersinia intermedia
Gallibacterium genomosp.
Pedobacter sp.
MAG: Prevotella
MAG: Oscillibacter
Xanthomonas arboricola
Flavobacterium succinicans
Weissella confusa
Afifella aestuarii
Phormidesmis priestleyi
Virgibacillus oceani
Microbacterium hydrothermale
Xenorhabdus sp.
Aerococcus urinaeequi
Salinibacter ruber
Pseudomonas iridis
Elizabethkingia ursingii
Bordetella bronchiseptica
Micrococcus luteus
MAG: Mitsuokella
Vibrio owensii
Commensalibacter communis
Bacillus amyloliquefaciens
Enterobacter cloacae
Streptococcus ratti
Candidatus Kinetoplastibacterium
Sphingobium yanoikuyae
Salinibacterium sp.
Solemya elarraichensis
Brenneria alni
Methylobacterium sp.
Nocardia cyriacigeorgica
Treponema pallidum
Fusobacterium vincentii
Corynebacterium glaucum
Burkholderia gladioli
Dehalococcoides mccartyi
Dorea longicatena
Rothia nasimurium
Olleya marilimosa
Aliarcobacter butzleri
Burkholderia arboris
Yersinia kristensenii
Staphylococcus lugdunensis
Ruegeria arenilitoris
Ruminococcus sp.
Providencia alcalifaciens
Bacillus pumilus
Luteimonas sp.
Gemella haemolysans
Kocuria rosea
Mycoplasmopsis cynos
Acinetobacter seifertii
Acinetobacter nosocomialis
Azotobacter chroococcum
Croceicoccus pelagius
Prevotella bivia
MAG: Ferrimicrobium
Streptococcus pseudopneumoniae
Pediococcus pentosaceus
Flammeovirga sp.
Mycolicibacterium smegmatis
Bosea sp.
MAG: Dubosiella
Bradyrhizobium elkanii
Levilactobacillus acidifarinae
Pseudomonas oleovorans
Helicobacter kayseriensis
Yersinia frederiksenii
Borrelia anserina
Anaerostipes hadrus
Bacteroides xylanisolvens
Yinghuangia soli
Mycobacterium innocens
Sphingomonas parva
