aggregatibacter actinomycetemcomitans
klebsiella oxytoca
enterobacter ludwigii
thermoanaerobacter siderophilus
flavobacterium subsaxonicum
flexilinea flocculi
aureimonas sp
streptomyces thermolilacinus
thiolapillus brandeum
dickeya chrysanthemi
anaerolineaceae bacterium
pseudoalteromonas sp
ulvibacter sp
campylobacter showae
buchnera aphidicola
acinetobacter venetianus
serratia plymuthica
vibrio ordalii
peanut witches
candidatus hodgkinia
lactobacillus johnsonii
cylindrospermum stagnale
stenotrophomonas sp
bifidobacterium mongoliense
thauera sp
haemophilus parasuis
tepidibacillus sp
amycolatopsis mediterranei
haloterrigena turkmenica
chryseobacterium luteum
terrisporobacter othiniensis
streptomyces lincolnensis
brachyspira hampsonii
loktanella cinnabarina
mycobacterium africanum
moraxella catarrhalis
xanthomonas fuscans
actinobacterium scgc
arthrobacter alpinus
candidatus peregrinibacteria
corynebacterium glutamicum
rubrivivax gelatinosus
xanthomonas translucens
azospirillum sp
propionibacterium sp
burkholderia gladioli
spiroplasma sabaudiense
campylobacter sp
halothiobacillus neapolitanus
leptospira weilii
streptomyces varsoviensis
anoxybacillus sp
meiothermus ruber
desulfosporosinus orientis
burkholderia cepacia
parabacteroides distasonis
roseovarius nubinhibens
streptococcus vestibularis
gramella forsetii
thioalkalivibrio versutus
gordonia amarae
arthrobacter sp
mycoplasma meleagridis
pseudomonas citronellolis
acinetobacter parvus
secondary endosymbiont
brevibacterium linens
anaplasma phagocytophilum
cedecea neteri
tatlockia micdadei
sulfurospirillum sp
campylobacter upsaliensis
azoarcus sp
streptococcus gordonii
alistipes putredinis
halobacterium sp
candidatus mycoplasma
arcanobacterium sp
mucilaginibacter paludis
candidatus phytoplasma
leptospira inadai
lactobacillus fuchuensis
hyphomonas sp
bdellovibrio exovorus
thermococcus thioreducens
lysinibacillus massiliensis
rhodococcus erythropolis
actinomyces oris
xanthomonas oryzae
yersinia aldovae
candidatus amesbacteria
saprospira grandis
raoultella planticola
snodgrassella alvi
treponema vincentii
mycobacterium haemophilum
campylobacter concisus
 bacillus
roseburia inulinivorans
sulfolobus solfataricus
endozoicomonas montiporae
methyloceanibacter caenitepidi
pseudomonas mandelii
burkholderia sp
enterococcus sp
sinorhizobium fredii
clostridium sp
anaerostipes sp
acinetobacter schindleri
methanolobus tindarius
alicyclobacillus acidocaldarius
corynebacterium ulcerans
mycobacterium phlei
natrinema sp
cronobacter malonaticus
oscillochloris trichoides
corynebacterium crudilactis
leuconostoc citreum
halomonas sp
porphyromonas gulae
borrelia afzelii
parachlamydia acanthamoebae
rhodospirillum centenum
porphyromonas gingivalis
halorubrum arcis
mycobacterium setense
erysipelotrichaceae bacterium
pyrococcus sp
neisseria lactamica
bacillus thuringiensis
mycobacterium vulneris
halobacterium salinarum
aneurinibacillus migulanus
streptomyces rimosus
clostridium ragsdalei
clostridium bornimense
brevundimonas diminuta
synechococcus sp
flavihumibacter petaseus
mycoplasma hyorhinis
gallibacterium anatis
brucella canis
yokenella regensburgei
paenibacillus antarcticus
mycoplasma canis
helicobacter sp
candidatus jorgensenbacteria
rhodococcus equi
verrucomicrobiae bacterium
variovorax paradoxus
borrelia miyamotoi
hydrogenophaga sp
porphyrobacter sp
photobacterium kishitanii
brevundimonas nasdae
chlamydia muridarum
gynuella sunshinyii
megasphaera elsdenii
oerskovia sp
burkholderia contaminans
lactobacillus salivarius
methylomonas lenta
serratia sp
candidatus blochmannia
escherichia fergusonii
methylotenera mobilis
corynebacterium kroppenstedtii
azospirillum brasilense
pantoea sp
candidatus riesia
bartonella vinsonii
enterococcus mundtii
prevotella sp
lactobacillus homohiochii
acinetobacter calcoaceticus
prevotella bivia
enterococcus caccae
enterobacter asburiae
aggregatibacter aphrophilus
geobacillus thermoleovorans
pyrobaculum islandicum
methyloceanibacter stevinii
shewanella oneidensis
aeromicrobium sp
shewanella violacea
bacillus megaterium
mycoplasma canadense
rickettsia felis
candidatus magasanikbacteria
candidatus wolfebacteria
candidatus kinetoplastibacterium
vibrio mimicus
atopobium minutum
leifsonia sp
erwinia sp
paenibacillus borealis
enterococcus quebecensis
streptococcus pseudopneumoniae
cylindrospermopsis sp
achromobacter xylosoxidans
paraliobacillus sp
lysinibacillus macroides
agromyces sp
streptococcus salivarius
tepidiphilus thermophilus
lactobacillus coleohominis
photobacterium angustum
elstera litoralis
coprobacillus sp
chitinispirillum alkaliphilum
cronobacter dublinensis
xenorhabdus poinarii
halodesulfovibrio spirochaetisodalis
candidatus collierbacteria
thermotalea metallivorans
corynebacterium callunae
yersinia pekkanenii
virgibacillus soli
mycoplasma genitalium
oligella urethralis
serratia fonticola
nonlabens ulvanivorans
beta proteobacterium
vibrio tasmaniensis
ruminococcus bromii
streptomyces agglomeratus
bifidobacterium magnum
halogeometricum borinquense
komagataeibacter hansenii
anaplasma centrale
bacteroides pyogenes
mycoplasma hominis
methanobrevibacter sp
methylobacterium populi
haloterrigena thermotolerans
mycobacterium leprae
sar86 cluster
bacillus pumilus
aeromonas schubertii
pseudohaliea rubra
pseudomonas stutzeri
erythrobacter litoralis
marinomonas sp
acidiplasma aeolicum
janibacter sp
planomicrobium sp
bacteroides intestinalis
sphingobium sp
sagittula stellata
helicobacter hepaticus
microbacterium hydrocarbonoxydans
nitrolancea hollandica
xanthomonas vesicatoria
paracoccus versutus
bacillus cytotoxicus
mycoplasma putrefaciens
achromobacter insuavis
burkholderia cenocepacia
kocuria sp
morganella morganii
candidatus methanomassiliicoccus
bifidobacterium actinocoloniiforme
burkholderia ginsengiterrae
streptomyces ambofaciens
pseudomonas lundensis
flavonifractor plautii
polaribacter sp
nesterenkonia sp
colwellia psychrerythraea
melissococcus plutonius
thiomonas intermedia
sediminicola sp
deinococcus actinosclerus
ensifer sp
thermococcus piezophilus
actinomyces johnsonii
thermobacillus composti
pedobacter sp
flavobacterium aquatile
staphylococcus agnetis
planococcus donghaensis
bacillus paralicheniformis
corynebacterium tuscaniense
atopobium vaginae
mycoplasma gallisepticum
thioclava pacifica
borrelia hermsii
ewingella americana
nitratiruptor sp
sorangium cellulosum
leptotrichia wadei
burkholderia oklahomensis
chloroflexus sp
lactobacillus mindensis
mycoplasma hyopneumoniae
streptococcus intermedius
bacillus smithii
candidatus xiphinematobacter
lactobacillus kimbladii
methylophaga lonarensis
trichococcus sp
leptospira noguchii
thiorhodococcus sp
caulobacter segnis
acinetobacter radioresistens
paenibacillus bovis
oceanobacillus iheyensis
neisseria polysaccharea
acholeplasma brassicae
leptospirillum ferriphilum
carnobacterium sp
mitsuokella multacida
massilia sp
pelagibacterium halotolerans
streptococcus sanguinis
chlamydia pneumoniae
capnocytophaga ochracea
bacteroidales bacterium
lactobacillus crispatus
halorubrum lacusprofundi
lactobacillus wasatchensis
lactobacillus kimchicus
halomonas chromatireducens
wenxinia marina
aggregatibacter sp
haloarcula marismortui
methylobacterium extorquens
brevibacterium mcbrellneri
acinetobacter bouvetii
methanoculleus bourgensis
flavobacteria bacterium
rhodanobacter fulvus
lactobacillus cacaonum
salinicoccus sediminis
thiomonas bhubaneswarensis
wenzhouxiangella marina
microcystis aeruginosa
corynebacterium halotolerans
staphylococcus succinus
pandoraea pnomenusa
thermoanaerobacter sp
pseudoalteromonas translucida
paracoccus sp
leuconostoc mesenteroides
erwinia amylovora
streptomyces violaceusniger
oceanibulbus sp
acinetobacter brisouii
anaerococcus prevotii
shigella dysenteriae
prosthecochloris sp
clostridium perfringens
turicella otitidis
enterococcus rotai
acetobacterium bakii
clostridium sporogenes
pseudomonas cerasi
candidatus saccharibacteria
streptomyces wadayamensis
streptomyces ipomoeae
methylococcaceae bacterium
pectobacterium parmentieri
brachybacterium faecium
pyrodictium occultum
arcobacter butzleri
acidovorax temperans
vibrio caribbeanicus
thermodesulfobacterium commune
weissella viridescens
acinetobacter haemolyticus
halomonas huangheensis
bacillus trypoxylicola
pontibacillus marinus
bacillus coagulans
melioribacter roseus
pectobacterium betavasculorum
rhodopseudomonas palustris
enterococcus thailandicus
proteus hauseri
roseovarius atlanticus
enterococcus villorum
marine actinobacterium
sutterella parvirubra
burkholderia dolosa
xenococcus sp
mesotoga prima
methanocella conradii
ralstonia mannitolilytica
deinococcus maricopensis
sphingomonas paucimobilis
peptoniphilus indolicus
bacteroides xylanisolvens
pectobacterium atrosepticum
corynebacterium afermentans
mycobacterium neworleansense
klebsiella michiganensis
mycobacterium neoaurum
candidatus arthromitus
legionella quateirensis
